,molecule_chembl_id,molecule_pref_name,canonical_smiles,pchembl_value,standard_type,standard_relation,standard_value,standard_units,ligand_efficiency,assay_type
0,CHEMBL105460,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnnc2-c2ccccc2)c2ccccc2)CC1,6.47,IC50,=,335.0,nM,"{'bei': '10.87', 'le': '0.20', 'lle': '0.76', 'sei': '5.42'}",B
1,CHEMBL105606,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cncn2)c2ccccc2)CC1,7.55,IC50,=,28.0,nM,"{'bei': '14.56', 'le': '0.27', 'lle': '2.90', 'sei': '7.08'}",B
2,CHEMBL105570,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,8.00,IC50,=,10.0,nM,"{'bei': '13.75', 'le': '0.25', 'lle': '1.42', 'sei': '8.53'}",B
3,CHEMBL83338,,CN(C[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1cccc(Cl)c1)S(=O)(=O)c1ccccc1,7.46,IC50,=,35.0,nM,"{'bei': '13.38', 'le': '0.28', 'lle': '2.17', 'sei': '11.71'}",B
4,CHEMBL325357,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2ncc3ccccc32)c2ccccc2)CC1,7.82,IC50,=,15.0,nM,"{'bei': '13.78', 'le': '0.25', 'lle': '1.41', 'sei': '8.35'}",B
5,CHEMBL105572,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(Cl)c2Cl)c2ccccc2)CC1,7.80,IC50,=,16.0,nM,"{'bei': '13.29', 'le': '0.27', 'lle': '1.24', 'sei': '8.32'}",B
6,CHEMBL107750,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(CC#N)c2)c2ccccc2)CC1,7.82,IC50,=,15.0,nM,"{'bei': '14.05', 'le': '0.26', 'lle': '2.50', 'sei': '6.66'}",B
7,CHEMBL105659,,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1,6.95,IC50,=,112.0,nM,"{'bei': '12.95', 'le': '0.24', 'lle': '0.28', 'sei': '13.74'}",B
8,CHEMBL107380,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,8.00,IC50,=,10.0,nM,"{'bei': '13.10', 'le': '0.24', 'lle': '1.25', 'sei': '8.31'}",B
9,CHEMBL104793,,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,8.15,IC50,=,7.0,nM,"{'bei': '12.87', 'le': '0.24', 'lle': '2.06', 'sei': '8.32'}",B
10,CHEMBL106231,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cc3ccccc3n2)c2ccccc2)CC1,7.57,IC50,=,27.0,nM,"{'bei': '13.33', 'le': '0.25', 'lle': '1.16', 'sei': '8.07'}",B
11,CHEMBL321539,,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,6.61,IC50,=,246.0,nM,"{'bei': '12.00', 'le': '0.22', 'lle': '-0.45', 'sei': '13.06'}",B
12,CHEMBL322439,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc([N+](=O)[O-])c2)c2ccccc2)CC1,7.82,IC50,=,15.0,nM,"{'bei': '13.91', 'le': '0.26', 'lle': '2.66', 'sei': '5.72'}",B
13,CHEMBL104474,,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,7.60,IC50,=,25.0,nM,"{'bei': '14.54', 'le': '0.27', 'lle': '1.10', 'sei': '15.02'}",B
14,CHEMBL319622,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2c(CC)nc3ccccc32)c2ccccc2)CC1,7.32,IC50,=,48.0,nM,"{'bei': '12.29', 'le': '0.23', 'lle': '0.35', 'sei': '7.81'}",B
15,CHEMBL104867,,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(c2ccccc2)C2Nc3ccccc3S(=O)(=O)N2)CC1,7.26,IC50,=,55.0,nM,"{'bei': '12.33', 'le': '0.24', 'lle': '1.91', 'sei': '7.98'}",B
16,CHEMBL104867,,C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(c2ccccc2)C2Nc3ccccc3S(=O)(=O)N2)CC1,7.75,IC50,=,18.0,nM,"{'bei': '13.15', 'le': '0.25', 'lle': '2.39', 'sei': '8.51'}",B
17,CHEMBL104464,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnc(-c3ccccc3)n2)c2ccccc2)CC1,6.96,IC50,=,111.0,nM,"{'bei': '11.67', 'le': '0.22', 'lle': '1.24', 'sei': '5.82'}",B
18,CHEMBL106803,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc3ccccc32)c2ccccc2)CC1,8.40,IC50,=,4.0,nM,"{'bei': '14.79', 'le': '0.27', 'lle': '1.99', 'sei': '8.96'}",B
19,CHEMBL107380,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(C)(c2ccccc2)C2c3ccccc3C(=O)N2CC)CC1,7.75,IC50,=,18.0,nM,"{'bei': '12.68', 'le': '0.24', 'lle': '0.99', 'sei': '8.05'}",B
20,CHEMBL320365,,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2cnc(-c3ccccc3)c2)c2ccccc2)CC1,7.64,IC50,=,23.0,nM,"{'bei': '12.86', 'le': '0.24', 'lle': '0.72', 'sei': '8.15'}",B
21,CHEMBL61536,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,8.70,IC50,=,2.0,nM,,F
22,CHEMBL61536,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,8.29,IC50,=,5.1,nM,,F
23,CHEMBL61536,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,7.83,IC50,=,14.9,nM,,F
24,CHEMBL61536,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,7.83,IC50,=,14.9,nM,,F
25,CHEMBL61374,,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.07,IC50,=,8.5,nM,,F
26,CHEMBL61374,,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.64,IC50,=,23.0,nM,,F
27,CHEMBL61374,,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.51,IC50,=,31.0,nM,,F
28,CHEMBL61374,,Cc1nc(-c2ccccc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.78,IC50,=,16.5,nM,,F
29,CHEMBL292625,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Br)cc3)CC2)CC1,8.66,IC50,=,2.2,nM,,F
30,CHEMBL292625,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Br)cc3)CC2)CC1,9.30,IC50,=,0.5,nM,,F
31,CHEMBL292625,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Br)cc3)CC2)CC1,7.55,IC50,=,28.3,nM,,F
32,CHEMBL292625,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3ccc(Br)cc3)CC2)CC1,,IC50,,,nM,,F
