TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-1,glucarate,"(2S,3S,4S,5R)-2,3,4,5-tetrahydroxyhexanedioate",5288393,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],DSLZVSRJTYRBFB-LLEIAEIESA-L,0
TOX-2,nitrate,nitrate,943,O=[N+]([O-])[O-],NHNBFGGVMKEFGY-UHFFFAOYSA-N,0
TOX-3,Nitroxyl,nitroxyl,945,N=O,ODUCDPQEXGNKDN-UHFFFAOYSA-N,0
TOX-4,Fluorophosphate,fluoro-dioxido-oxo-lambda5-phosphane,65241,O=P([O-])([O-])F,DWYMPOCYEZONEA-UHFFFAOYSA-L,0
TOX-5,,sulfate,1117,O=S(=O)([O-])[O-],QAOWNCQODCNURD-UHFFFAOYSA-L,0
TOX-6,Thiosulphate,dioxido-oxo-sulfanylidene-lambda6-sulfane,1084,O=S([O-])([O-])=S,DHCDFWKWKRSZHF-UHFFFAOYSA-L,0
TOX-8,Ixazomib,"[(1R)-1-[[2-[(2,5-dichlorobenzoyl)amino]acetyl]amino]-3-methylbutyl]boronic acid",25183872,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,MXAYKZJJDUDWDS-LBPRGKRZSA-N,1
TOX-9,ethinamate,(1-ethynylcyclohexyl) carbamate,3284,C#CC1(OC(N)=O)CCCCC1,GXRZIMHKGDIBEW-UHFFFAOYSA-N,0
TOX-10,,"[(1R)-2,3-dihydro-1H-inden-1-yl]-prop-2-ynylazanium",140583360,C#CC[NH2+][C@@H]1CCc2ccccc21,RUOKEQAAGRXIBM-GFCCVEGCSA-O,0
TOX-11,,formonitrile,768,C#N,LELOWRISYMNNSU-UHFFFAOYSA-N,0
TOX-12,L-ascorbate,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",54679076,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,CIWBSHSKHKDKBQ-JLAZNSOCSA-M,0
TOX-13,,(2R)-2-azaniumyl-3-sulfanylpropanoate,6419722,[NH3+][C@@H](CS)C(=O)[O-],XUJNEKJLAYXESH-REOHCLBHSA-N,0
TOX-14,lactulose,"(2S,3R,4S,5R,6R)-2-[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",11333,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,JCQLYHFGKNRPGE-FCVZTGTOSA-N,0
TOX-15,,"(2S,3R,4S,5S,6R)-3-fluoro-6-(hydroxymethyl)oxane-2,4,5-triol",445226,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,ZCXUVYAZINUVJD-UKFBFLRUSA-N,0
TOX-16,sucrose,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",5988,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,CZMRCDWAGMRECN-UGDNZRGBSA-N,0
TOX-17,gluconolactone,"(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-one",7027,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,PHOQVHQSTUBQQK-SQOUGZDYSA-N,0
TOX-18,DL-Xylose,"(2R,3S,4R)-2,3,4,5-tetrahydroxypentanal",644160,O=C[C@H](O)[C@@H](O)[C@H](O)CO,PYMYPHUHKUWMLA-VPENINKCSA-N,0
TOX-19,mannitol,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",6251,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-KVTDHHQDSA-N,0
TOX-20,D-gluconate,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoate",6419706,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,RGHNJXZEOKUKBD-SQOUGZDYSA-M,0
TOX-21,D-Sorbitol,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",5780,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-JGWLITMVSA-N,0
TOX-22,GUANIDINIUM,diaminomethylideneazanium,32838,NC(N)=[NH2+],ZRALSGWEFCBTJO-UHFFFAOYSA-O,0
TOX-23,Perflubron,"1-bromo-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane",9873,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,WTWWXOGTJWMJHI-UHFFFAOYSA-N,0
TOX-24,Perfluorohexane,"1,1,1,2,2,3,3,4,4,5,5,6,6,6-tetradecafluorohexane",9639,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,0
TOX-25,trichloroethylphosphate,"2,2,2-trichloroethyl phosphate",22764074,O=P([O-])([O-])OCC(Cl)(Cl)Cl,YYQRGCZGSFRBAM-UHFFFAOYSA-L,0
TOX-26,Htris,"[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]azanium",3777159,[NH3+]C(CO)(CO)CO,LENZDBCJOHFCAS-UHFFFAOYSA-O,0
TOX-27,,,,,,0
TOX-28,nitroglycerin,"1,3-dinitrooxypropan-2-yl nitrate",4510,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],SNIOPGDIGTZGOP-UHFFFAOYSA-N,0
TOX-29,DIMERCAPROL,"2,3-bis(sulfanyl)propan-1-ol",3080,OCC(S)CS,WQABCVAJNWAXTE-UHFFFAOYSA-N,0
TOX-30,Perfluoropropane,"1,1,1,2,2,3,3,3-octafluoropropane",6432,FC(F)(F)C(F)(F)C(F)(F)F,QYSGYZVSCZSLHT-UHFFFAOYSA-N,0
TOX-31,halothane,"2-bromo-2-chloro-1,1,1-trifluoroethane",3562,FC(F)(F)C(Cl)Br,BCQZXOMGPXTTIC-UHFFFAOYSA-N,0
TOX-32,isoflurane,"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane",3763,FC(F)OC(Cl)C(F)(F)F,PIWKPBJCKXDKJR-UHFFFAOYSA-N,0
TOX-33,DESFLURANE,"2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane",42113,FC(F)OC(F)C(F)(F)F,DPYMFVXJLLWWEU-UHFFFAOYSA-N,0
TOX-34,TETRAFLUOROETHYLENE,"1,1,2,2-tetrafluoroethene",8301,FC(F)=C(F)F,BFKJFAAPBSQJPD-UHFFFAOYSA-N,0
TOX-35,,2-azaniumylacetate,5257127,[NH3+]CC(=O)[O-],DHMQDGOQFOQNFH-UHFFFAOYSA-N,0
TOX-36,,"2-hydroxypropane-1,2,3-tricarboxylate",31348,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],KRKNYBCHXYNGOX-UHFFFAOYSA-K,0
TOX-37,enflurane,"2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",3226,FC(F)OC(F)(F)C(F)Cl,JPGQOUSTVILISH-UHFFFAOYSA-N,0
TOX-38,fumarate,(E)-but-2-enedioate,5460307,O=C([O-])/C=C/C(=O)[O-],VZCYOOQTPOCHFL-OWOJBTEDSA-L,0
TOX-39,L-arginine(+),(2S)-2-azaniumyl-5-(diaminomethylideneazaniumyl)pentanoate,1549073,NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],ODKSFYDXXFIFQN-BYPYZUCNSA-O,0
TOX-40,,3-azaniumylpropyl(2-phosphonatosulfanylethyl)azanium,29927142,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],JKOQGQFVAUAYPM-UHFFFAOYSA-N,0
TOX-41,Difluoromethylornithine,"2,5-bis(azaniumyl)-2-(difluoromethyl)pentanoate",25202558,[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F,VLCYCQAOQCDTCN-UHFFFAOYSA-O,0
TOX-42,,"(4-hydroxy-4,4-diphosphonatobutyl)azanium",7048550,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],OGSPWJRAVKPPFI-UHFFFAOYSA-K,0
TOX-43,succinate,butanedioate,160419,O=C([O-])CCC(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L,0
TOX-44,,5-azaniumyl-4-oxopentanoate,7048523,[NH3+]CC(=O)CCC(=O)[O-],ZGXJTSGNIOSYLO-UHFFFAOYSA-N,0
TOX-45,,4-hydroxybutanoate,3037032,O=C([O-])CCCO,SJZRECIVHVDYJC-UHFFFAOYSA-M,0
TOX-46,,(2S)-5-amino-2-azaniumyl-5-oxopentanoate,6992086,NC(=O)CC[C@H]([NH3+])C(=O)[O-],ZDXPYRJPNDTMRX-VKHMYHEASA-N,0
TOX-47,glutathione ox,(2S)-2-azaniumyl-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-azaniumyl-4-carboxylatobutanoyl]amino]-3-(carboxylatomethylamino)-3-oxopropyl]disulfanyl]-1-(carboxylatomethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoate,40467895,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],YPZRWBKMTBYPTK-BJDJZHNGSA-L,0
TOX-48,,6-azaniumylhexanoate,517030,[NH3+]CCCCCC(=O)[O-],SLXKOJJOQWFEFD-UHFFFAOYSA-N,0
TOX-49,diethylenetriaminepentaacetate,2-[2-[2-[bis(carboxylatomethyl)azaniumyl]ethyl-(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)azaniumyl]acetate,134820103,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],QPCDCPDFJACHGM-UHFFFAOYSA-K,0
TOX-50,ioversol,"1-N,3-N-bis(2,3-dihydroxypropyl)-5-[(2-hydroxyacetyl)-(2-hydroxyethyl)amino]-2,4,6-triiodobenzene-1,3-dicarboxamide",3741,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,AMDBBAQNWSUWGN-UHFFFAOYSA-N,0
TOX-51,cysteaminium,2-sulfanylethylazanium,3799953,[NH3+]CCS,UFULAYFCSOUIOV-UHFFFAOYSA-O,0
TOX-52,carbonate,carbonate,19660,O=C([O-])[O-],BVKZGUZCCUSVTD-UHFFFAOYSA-L,0
TOX-53,phosphonatoformate,phosphonatoformate,3414,O=C([O-])P(=O)([O-])[O-],ZJAOAACCNHFJAH-UHFFFAOYSA-K,0
TOX-54,chlordiazepoxide,"7-chloro-4-hydroxy-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-imine",2712,C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1,BUCORZSTKDOEKQ-UHFFFAOYSA-N,0
TOX-55,dienestrol,"4-[(2E,4E)-4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol",667476,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,NFDFQCUYFHCNBW-SCGPFSFSSA-N,0
TOX-56,,"(6R,7R)-7-[[(2R)-2-azaniumyl-2-(4-hydroxyphenyl)acetyl]amino]-8-oxo-3-[(E)-prop-1-enyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",40466862,C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,WDLWHQDACQUCJR-ZAMMOSSLSA-N,0
TOX-57,Romidepsin,"(1S,4S,7Z,10S,16E,21R)-7-ethylidene-4,21-di(propan-2-yl)-2-oxa-12,13-dithia-5,8,20,23-tetrazabicyclo[8.7.6]tricos-16-ene-3,6,9,19,22-pentone",5352062,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,OHRURASPPZQGQM-GCCNXGTGSA-N,0
TOX-58,amiloride(1+),"[amino-[(3,5-diamino-6-chloropyrazine-2-carbonyl)amino]methylidene]azanium",6992023,NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N,XSDQTOBWRPYKKA-UHFFFAOYSA-O,0
